,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
967,3,50,1,2009,6.412357511311248
82,2,44,4,2020,9.02179299995636
178,3,46,3,1940,2.1630935026910407
553,3,103,5,2013,2.950728658023147
1169,5,136,0,1939,2.950728658023147
703,4,125,3,2008,2.950728658023147
172,3,62,6,2021,3.028100804547556
946,2,49,3,2007,3.9650819778586195
792,3,60,4,2019,3.229503918362215
336,1,33,5,2003,1.151400209782773
1116,2,51,2,1969,1.8357865205205397
228,4,100,2,1938,2.4656921514269445
513,4,143,5,2021,5.850879238095825
1056,3,71,2,2016,0.8372037712279973
198,6,162,3,1964,3.764078274853733
701,3,75,1,2010,4.627809124287993
55,3,78,1,2021,4.627809124287993
708,2,47,1,2012,8.060358697490658
1321,2,49,0,2008,4.627809124287993
147,2,41,2,2011,4.627809124287993
595,2,61,11,1968,2.4656921514269445
107,4,115,1,1837,0.5971212879791641
1031,2,35,2,2018,4.180902157560265
929,4,79,4,1948,3.1475793767187654
130,3,79,2,2011,0.33608526663220517
186,3,196,1,2021,2.8931627895061047
1076,3,79,11,2021,1.4993440102972917
1039,2,42,1,2008,2.1630935026910407
345,4,96,1,1932,1.151400209782773
987,3,81,1,1977,6.19034668998448
900,1,32,1,2021,8.758272925844354
769,3,80,5,2006,1.151400209782773
320,1,28,5,1970,5.368480014073527
873,3,54,2,1960,3.028100804547556
984,3,72,1,1975,5.774822769024017
674,3,59,4,2019,9.02179299995636
383,3,80,2,2008,8.060358697490658
169,4,100,2,1990,7.5308193890106905
1097,2,60,7,1985,6.412357511311248
849,3,83,2,2012,4.48966661360998
573,2,52,1,2021,4.627809124287993
614,4,85,4,2006,7.0581528069193915
1307,2,46,0,1950,8.50683751498356
729,4,88,1,2021,3.229503918362215
179,2,49,1,1920,4.48966661360998
1073,3,112,5,2006,1.6695696906286124
120,2,82,1,2020,1.4993440102972917
389,3,63,1,2021,13.451198172241758
803,4,190,3,2010,4.627809124287993
408,1,41,1,2012,4.627809124287993
1193,2,57,0,1970,3.229503918362215
151,2,67,1,2008,7.341600443143959
1302,2,71,0,2021,10.104968428088151
809,2,45,1,2021,7.727643811926475
445,2,61,11,1968,2.4656921514269445
467,2,43,3,2021,7.727643811926475
170,2,40,1,2017,6.412357511311248
831,2,57,5,1983,4.555350481612918
22,2,72,6,2000,5.938591758432152
682,3,83,1,2019,4.627809124287993
1318,3,67,0,2004,4.180902157560265
1219,3,75,0,1995,6.19034668998448
60,4,90,4,2021,3.028100804547556
711,3,102,5,1982,6.327538309738908
948,3,79,2,1925,0.33608526663220517
561,2,38,3,2011,2.4656921514269445
825,4,127,1,1910,0.919179918821867
61,2,55,16,2021,1.4993440102972917
412,3,72,2,2021,4.627809124287993
698,5,115,3,1988,8.060358697490658
417,1,54,4,2018,1.5042766095938493
1113,4,99,1,2021,3.7759754581122
1245,3,74,0,1985,6.589496002059308
772,3,76,2,2019,11.920072721153614
1173,3,90,0,2021,6.558459236390924
624,4,90,1,1840,0.4560756477657138
1023,2,51,5,1934,1.0532900558286078
30,4,106,3,1983,0.7637809531403825
989,2,57,1,1985,17.41971612183071
325,3,71,3,2021,3.0199873882277415
1200,3,50,0,2021,4.627809124287993
712,3,82,2,1935,4.180902157560265
1085,3,127,1,1910,1.151400209782773
645,3,64,3,1980,7.153095479774088
487,4,92,1,2021,7.127100263495205
791,3,71,1,2021,3.215018856368662
1008,2,55,4,2021,2.1630935026910407
1131,4,163,3,2009,0.33608526663220517
355,2,42,3,2018,7.153095479774088
555,4,112,7,1989,1.46223157229707
832,2,57,4,1990,7.153095479774088
309,3,53,-1,1989,6.2241629532191105
985,1,33,2,2021,5.480935161722186
398,3,94,3,2021,4.627809124287993
68,2,47,1,2021,3.028100804547556
442,3,69,2,1970,0.33608526663220517
884,3,70,1,1936,0.33608526663220517
506,2,62,2,1960,3.215018856368662
863,2,50,2,1965,1.7729576626938195
563,2,35,-1,2013,12.532710568919573
591,3,63,2,2010,14.162730619680794
488,4,90,2,2021,7.127100263495205
1284,2,50,0,1964,4.555350481612918
370,3,62,4,2010,2.950728658023147
433,5,120,1,2018,4.627809124287993
1157,3,73,0,2021,3.028100804547556
298,3,62,1,2021,4.627809124287993
185,2,50,4,1970,5.5362987541185245
629,4,65,4,2020,9.02179299995636
361,3,132,2,2000,3.215018856368662
758,4,109,2,1995,0.6620427698899353
1320,2,48,0,1970,2.054488014985931
609,3,70,8,1970,1.0532900558286078
771,3,80,6,1997,5.5362987541185245
1133,3,64,3,2020,8.758272925844354
838,2,64,5,1920,3.9650819778586195
394,5,134,1,2008,11.920072721153614
356,2,49,1,2018,7.153095479774088
1009,2,53,2,2019,11.920072721153614
77,1,50,1,2008,3.229503918362215
1154,2,45,0,1935,2.950728658023147
1127,4,83,3,1940,2.054488014985931
865,3,68,3,2020,4.809290970010597
685,4,101,6,2019,4.627809124287993
993,3,91,2,1954,1.46223157229707
829,5,150,4,2019,3.764078274853733
1205,3,79,0,1939,3.215018856368662
640,3,62,2,1934,1.632392123413332
1032,4,100,2,2021,3.215018856368662
134,3,57,4,2005,7.341600443143959
950,3,73,1,2021,3.229503918362215
857,4,174,7,2014,4.627809124287993
864,3,71,2,2006,5.938591758432152
1069,2,69,1,1994,1.46223157229707
581,1,33,4,1930,2.950728658023147
966,3,60,7,1985,6.412357511311248
994,5,153,6,2021,3.028100804547556
702,3,86,4,2000,4.627809124287993
890,2,60,1,2021,4.701286657456922
1109,3,74,2,2021,3.028100804547556
623,4,119,2,2003,1.8357865205205397
821,3,77,1,1903,0.33608526663220517
416,6,251,4,2017,3.7759754581122
250,4,85,1,1939,3.215018856368662
927,4,78,2,2020,0.919179918821867
84,2,31,2,2021,6.412357511311248
649,2,59,3,1956,0.8372037712279973
1007,2,46,1,2021,7.127100263495205
880,3,70,1,1936,0.33608526663220517
724,4,85,1,1935,3.028100804547556
533,3,66,2,2021,4.627809124287993
1079,3,105,3,2014,4.627809124287993
523,2,39,2,2018,7.153095479774088
234,4,100,5,1963,1.8357865205205397
508,4,174,7,2007,4.627809124287993
672,4,142,2,2018,3.028100804547556
1210,2,46,0,2020,3.229503918362215
538,3,50,2,2005,7.341600443143959
425,4,133,1,1950,2.4656921514269445
437,5,105,4,1991,5.938591758432152
138,2,48,3,2021,4.180902157560265
752,5,376,3,2017,3.215018856368662
461,3,106,1,2021,2.8931627895061047
401,3,100,7,2017,4.180902157560265
155,3,67,5,1994,4.627809124287993
1290,3,78,0,2019,4.627809124287993
564,4,87,3,1980,8.707751488371587
244,4,89,1,2021,6.558459236390924
1227,4,122,0,2021,4.909122795790746
1213,3,47,0,2000,5.533022836943176
1096,2,51,5,2011,4.48966661360998
287,3,70,1,2013,4.627809124287993
1005,2,36,5,1986,5.410252426884404
312,2,46,4,2021,6.558459236390924
92,4,68,2,1990,12.112608628571747
1143,3,63,14,1965,1.9458960312875688
1277,2,52,0,2016,4.48966661360998
457,3,71,3,1925,1.0532900558286078
828,3,63,3,2000,7.4817508027579995
468,2,43,1,2021,7.727643811926475
878,1,48,3,2011,10.55949884993751
1160,2,50,0,2011,5.533022836943176
986,2,68,1,2021,5.5362987541185245
6,4,92,3,2021,8.950383924033956
1000,4,95,2,1991,4.699478834391479
319,1,30,1,2020,4.627809124287993
930,4,119,1,2021,3.215018856368662
856,4,109,1,2008,3.229503918362215
919,2,59,1,2021,8.758272925844354
407,4,102,2,2020,5.5362987541185245
71,4,133,1,2021,2.950728658023147
485,4,99,4,1894,1.7729576626938195
455,3,106,2,2021,3.7759754581122
670,3,86,1,2006,3.229503918362215
646,3,64,3,1980,7.153095479774088
1064,3,94,1,2006,3.229503918362215
208,4,133,1,1936,2.4656921514269445
963,3,45,5,1995,6.412357511311248
1183,2,70,0,2002,4.699478834391479
232,4,102,2,2020,5.5362987541185245
10,3,152,7,2000,1.5042766095938493
960,6,177,1,1949,2.950728658023147
1197,2,51,0,2010,3.0199873882277415
81,2,34,3,2007,9.540825411381281
237,4,98,4,2017,3.229503918362215
139,3,49,3,2014,2.950728658023147
738,4,160,3,2020,0.7637809531403825
1232,2,54,0,1980,7.92577586190849
710,4,91,11,2001,4.627809124287993
932,4,75,1,2021,3.215018856368662
58,3,66,1,1985,4.627809124287993
1212,1,39,0,2015,3.7759754581122
152,3,84,5,2021,26.894131519743997
