,broj_soba,kvadratura_m2,spratnost,godina,udaljenost
0,3,74,3,2022,4.627809124287993
1,3,63,2,2022,4.627809124287993
2,2,53,3,2022,4.627809124287993
3,5,120,1,2022,4.627809124287993
4,4,85,4,2016,3.764078274853733
5,3,63,4,2021,9.377203508182012
6,4,92,3,2021,8.950383924033956
7,2,47,1,2021,4.180902157560265
8,3,55,1,2021,3.9333331631598982
9,2,47,7,2020,7.127100263495205
10,3,152,7,2000,1.5042766095938493
12,3,75,10,1974,2.670760515983161
13,3,95,1,2012,3.215018856368662
14,1,47,13,1970,4.382941271201817
15,3,73,4,1960,2.4656921514269445
16,2,100,4,2009,3.229503918362215
17,4,114,1,1939,2.950728658023147
18,3,104,1,1935,1.8357865205205397
19,5,260,3,2016,3.7759754581122
20,4,99,1,1992,1.6695696906286124
21,2,61,5,2021,3.764078274853733
22,2,72,6,2000,5.938591758432152
23,2,48,2,2014,10.55949884993751
26,1,30,6,1950,1.5042766095938493
27,2,1,1,2021,3.900039816858124
29,3,99,1,2008,2.950728658023147
30,4,106,3,1983,0.7637809531403825
31,3,106,1,2005,5.368480014073527
32,2,56,6,2002,8.950383924033956
33,2,42,2,2011,6.412357511311248
34,1,32,1,2021,8.758272925844354
35,2,44,2,1949,556.2923753901563
36,3,70,2,2021,5.5362987541185245
37,3,62,3,2021,3.028100804547556
38,2,32,2,2021,5.5362987541185245
41,4,94,4,2005,2.054488014985931
42,4,94,1,2021,4.701286657456922
43,4,100,3,1970,3.0482574440179495
44,2,88,5,1991,3.229503918362215
46,3,92,1,2015,2.4656921514269445
47,3,72,5,2004,3.326047466569787
48,3,66,4,2017,17.41971612183071
50,3,80,5,1975,2.670760515983161
51,3,125,6,1980,1.5042766095938493
53,3,70,1,2013,5.366227568282904
55,3,78,1,2021,4.627809124287993
56,3,62,2,2021,4.627809124287993
57,3,71,2,2021,2.1630935026910407
58,3,66,1,1985,4.627809124287993
60,4,90,4,2021,3.028100804547556
61,2,55,16,2021,1.4993440102972917
66,2,44,4,2021,8.950383924033956
67,3,72,2,2021,5.5362987541185245
68,2,47,1,2021,3.028100804547556
69,2,52,1,2015,6.19034668998448
70,3,80,4,2001,51.60738518857496
71,4,133,1,2021,2.950728658023147
72,3,133,6,2017,3.229503918362215
73,4,75,1,2019,4.627809124287993
74,2,55,-1,2018,6.412357511311248
75,3,60,2,2021,7.727643811926475
76,1,40,2,1930,0.33608526663220517
77,1,50,1,2008,3.229503918362215
78,1,50,1,2008,3.229503918362215
79,1,34,1,1990,14.162730619680794
81,2,34,3,2007,9.540825411381281
82,2,44,4,2020,9.02179299995636
83,2,41,1,2021,6.412357511311248
84,2,31,2,2021,6.412357511311248
85,2,58,1,2021,8.758272925844354
86,2,48,1,2021,8.758272925844354
