,Unnamed: 0,broj_soba,kvadratura_m2,ukupan_broj_spratova,lokacija,udaljenost
0,1,4.0,90.0,5.0,Voždovac,6.7168704899933
1,2,3.0,74.0,5.0,Voždovac,6.7168704899933
2,3,3.0,63.0,5.0,Voždovac,6.7168704899933
3,4,2.0,53.0,5.0,Voždovac,6.7168704899933
4,5,5.0,120.0,5.0,Voždovac,6.7168704899933
5,6,3.0,73.0,5.0,Voždovac,6.7168704899933
6,8,2.0,38.0,3.0,Vračar (Hram),2.4067349663387816
7,9,2.0,61.0,5.0,Lion,1228.263457866654
8,10,4.0,85.0,5.0,Lion,1228.263457866654
9,11,3.0,58.0,6.0,Kalenić pijaca,2.4656921514269445
10,12,3.0,63.0,7.0,Vidikovački venac,9.121934535667686
11,13,4.0,92.0,7.0,Vidikovac,162.54414689338526
12,14,2.0,47.0,3.0,Zvezdara,4.180902157560265
13,15,3.0,55.0,3.0,Dušanovac,3.933333163159898
14,16,3.0,99.0,5.0,Slavija,140.38293799225383
15,17,3.0,99.0,5.0,Vračar (Centar),2.950728658023147
16,18,3.0,133.0,4.0,Banovo brdo,5.5362987541185245
17,19,2.0,45.0,7.0,Konjarnik,5.368480014073527
18,20,5.0,119.0,4.0,Vidikovac,162.54414689338526
19,21,2.0,47.0,7.0,Zemun (Cara Dušana),6.798894438744942
20,27,3.0,75.0,4.0,Kalenić pijaca,2.4656921514269445
21,61,2.0,51.0,5.0,Đeram pijaca,3.019987388227741
22,66,2.0,59.0,7.0,Vračar (Centar),2.950728658023147
24,69,3.0,76.0,6.0,Vračar (Centar),2.950728658023147
25,71,3.0,90.0,2.0,Dedinje (Beli dvor),5.806718168712199
26,73,3.0,72.0,12.0,Banjica,7.04677740917667
27,74,3.0,99.0,6.0,Vračar (Centar),2.950728658023147
28,75,2.0,50.0,6.0,Crveni krst,3.2295039183622145
29,79,2.0,48.0,3.0,Đeram pijaca,3.019987388227741
30,80,4.0,68.0,7.0,Zvezdara,4.180902157560265
31,81,2.0,45.0,3.0,Vračar (Hram),2.4067349663387816
32,82,4.0,112.0,6.0,Kalenić pijaca,2.4656921514269445
33,83,2.0,1.0,5.0,Krnjača,3.9000398168581234
34,96,3.0,75.0,3.0,Pionirski park,1.040326710556249
35,114,1.0,32.0,2.0,Ledine,518.9711791843507
36,116,3.0,70.0,5.0,Banovo brdo,5.5362987541185245
37,117,3.0,62.0,8.0,Južni bulevar,3.028100804547556
38,118,2.0,32.0,5.0,Banovo brdo,5.5362987541185245
39,119,2.0,36.0,4.0,Ledine,518.9711791843507
40,120,2.0,46.0,1.0,Zeleni venac,38.64691303355431
41,121,4.0,117.0,6.0,Novi Beograd Blok 25 (Arena),6.076507659812392
42,134,3.0,120.0,5.0,Kalenić pijaca,2.4656921514269445
43,135,4.0,87.0,6.0,Lion,1228.263457866654
44,136,3.0,80.0,10.0,Južni bulevar,3.028100804547556
46,143,2.0,88.0,3.0,Zemun (Cara Dušana),6.798894438744942
47,172,3.0,72.0,6.0,Novi Beograd,3.3260474665697872
48,180,4.0,150.0,3.0,Dedinje (Beli dvor),5.806718168712199
49,181,3.0,66.0,4.0,Batajnica,17.41971612183071
50,182,1.0,36.0,5.0,Karaburma,4.48966661360998
51,183,4.0,75.0,7.0,Novi Beograd Blok 25 (Arena),6.076507659812392
52,188,2.0,52.0,5.0,Zemun (Kej),4.375819561017562
53,189,3.0,47.0,10.0,Novi Beograd,3.3260474665697872
54,191,3.0,60.0,11.0,Konjarnik,5.368480014073527
55,192,1.0,31.0,1.0,Zemun (Centar),7.816013295318715
56,193,3.0,110.0,4.0,Vračar (Hram),2.4067349663387816
57,211,2.0,43.0,3.0,Ledine,518.9711791843507
58,212,3.0,93.0,3.0,Ledine,518.9711791843507
59,214,3.0,78.0,4.0,Voždovac,6.7168704899933
60,215,3.0,62.0,4.0,Voždovac,6.7168704899933
61,222,3.0,71.0,4.0,Vukov spomenik,2.1630935026910407
62,232,4.0,90.0,8.0,Južni bulevar,3.028100804547556
63,233,4.0,105.0,9.0,Cvijićeva,14.967799402313748
64,234,2.0,52.0,5.0,Retenzija,3.96508197785862
65,235,3.0,47.0,10.0,Belvil,8788.754432222408
66,236,2.0,55.0,23.0,Beograd na vodi,1.4993440102972917
67,238,3.0,73.0,7.0,Južni bulevar,3.028100804547556
68,241,2.0,35.0,4.0,Dedinje (Beli dvor),5.806718168712199
70,260,6.0,146.0,7.0,Vidikovac,162.54414689338526
71,261,2.0,44.0,7.0,Vidikovac,162.54414689338526
72,262,3.0,72.0,5.0,Banovo brdo,5.5362987541185245
73,263,2.0,47.0,9.0,Južni bulevar,3.028100804547556
74,264,3.0,87.0,4.0,Voždovac,6.7168704899933
75,265,2.0,52.0,3.0,Braće Jerković,6.19034668998448
76,272,4.0,150.0,3.0,Zvezdarska Šuma,4.148932839414423
77,274,4.0,140.0,2.0,Dedinje (Beli dvor),5.806718168712199
78,280,3.0,80.0,6.0,Lipov lad,51.607385188574966
80,283,3.0,98.0,3.0,Vračar (Centar),2.950728658023147
81,284,3.0,85.0,3.0,Voždovac,6.7168704899933
82,285,3.0,67.0,6.0,Voždovac,6.7168704899933
83,286,4.0,80.0,6.0,Voždovac,6.7168704899933
84,289,2.0,65.0,7.0,Crveni krst,3.2295039183622145
85,290,2.0,45.0,7.0,Crveni krst,3.2295039183622145
86,291,4.0,150.0,3.0,Dedinje (Beli dvor),5.806718168712199
87,292,4.0,98.0,7.0,Voždovac,6.7168704899933
88,293,3.0,74.0,7.0,Autokomanda,3.215018856368662
89,295,2.0,58.0,6.0,Vračar (Centar),2.950728658023147
90,296,2.0,51.0,6.0,Vračar (Centar),2.950728658023147
91,297,3.0,76.0,6.0,Kalenić pijaca,2.4656921514269445
92,298,4.0,133.0,5.0,Vračar (Centar),2.950728658023147
94,300,3.0,74.0,5.0,Vračar (Hram),2.4067349663387816
95,301,3.0,80.0,5.0,Vračar (Hram),2.4067349663387816
96,302,3.0,81.0,8.0,Novi Beograd Blok 64,5.883442824258598
97,303,3.0,75.0,8.0,Novi Beograd Blok 64,5.883442824258598
98,308,4.0,137.0,5.0,Vračar (Hram),2.4067349663387816
99,312,5.0,134.0,3.0,Zemun (Centar),7.816013295318715
100,313,3.0,40.0,4.0,Zvezdara,4.180902157560265
101,314,4.0,86.0,7.0,Vukov spomenik,2.1630935026910407
102,315,3.0,66.0,7.0,Vukov spomenik,2.1630935026910407
103,316,6.0,310.0,4.0,Lekino brdo,3.7759754581122
104,321,4.0,92.0,4.0,Slavija,140.38293799225383
105,322,3.0,115.0,6.0,Kalenić pijaca,2.4656921514269445
106,323,3.0,72.0,10.0,Novi Beograd Blok 64,5.883442824258598
