,cena_eur
0,162800
1,138600
2,116600
3,264000
4,180000
5,101000
6,147200
7,103500
8,116000
9,129000
10,245000
12,139000
13,230000
14,71900
15,217000
16,160000
17,298500
18,189900
19,390000
20,240000
21,115000
22,135000
23,42000
26,75000
27,1000
29,230000
30,299900
31,185000
32,73000
33,61500
34,46350
35,75000
36,174600
37,136500
38,83200
41,180000
42,165340
43,199500
44,165000
46,263900
47,127000
48,110000
50,158000
51,265000
53,115500
55,156000
56,124000
57,207256
58,110900
60,199000
61,170000
66,71000
67,180000
68,103500
69,92000
70,175000
71,500000
72,346000
73,138750
74,71500
75,105000
76,117000
77,94000
78,94000
79,26500
81,49000
82,48400
83,56500
84,46000
85,76120
86,67110
87,84000
88,59820
90,41055
91,115000
92,64900
93,100000
94,100000
95,130000
96,235000
97,245000
98,135000
99,225000
100,288000
101,91000
102,44200
103,57800
104,62300
105,65000
107,239900
109,145000
110,107000
111,130000
112,185000
115,126000
116,103500
117,145700
118,107000
119,220888
120,220888
121,459800
124,175000
125,130000
126,110000
127,72500
128,70000
129,38000
130,225000
131,55000
132,94500
133,235000
134,87500
135,170000
136,97000
137,85000
138,103600
139,124000
140,30000
141,108000
142,124000
147,65000
148,168500
149,350000
150,39000
151,83000
152,40000
153,33000
154,118000
155,122400
156,90000
157,199000
158,81000
159,89000
160,219000
161,172000
162,48000
163,63500
164,60000
166,200000
168,229000
169,149900
170,65000
171,159000
172,148800
173,275000
174,161000
175,110200
176,178000
177,229500
178,89900
179,69000
180,146500
181,130000
183,139000
184,135000
185,82000
186,492000
189,390000
190,398000
192,320000
193,560000
195,499900
197,430000
198,275000
200,189000
201,271000
202,245000
204,278000
206,560000
207,308750
208,400000
209,320300
210,318725
211,285000
213,245000
214,195000
217,145000
218,298500
219,175000
220,96000
222,282450
223,223800
224,210000
225,242000
228,250000
229,226730
232,235000
234,160000
235,305000
237,239000
238,239000
239,135000
240,181800
242,170000
244,174000
247,145000
249,147000
250,133500
251,164000
253,180000
254,187850
255,187850
256,187850
257,148000
258,187850
260,130000
261,180000
262,150000
263,145000
264,250000
267,160000
269,129000
270,140000
271,204000
273,159000
274,152000
276,111000
277,140200
278,140000
280,115000
282,188500
284,188500
285,144300
286,115500
287,110000
288,170000
289,135000
291,140700
292,172900
295,179000
296,99500
297,165000
298,120000
299,120000
300,120000
301,120000
302,81000
306,175000
307,107500
308,107500
309,49500
310,95000
312,94500
314,128000
315,124000
316,68200
317,70000
318,85000
319,68200
320,51000
321,119970
323,60950
324,111750
325,184600
326,179400
327,95000
328,160000
329,50000
332,78000
334,275000
335,60000
336,85000
337,550000
340,69000
341,320000
342,349250
345,220000
346,490000
347,200000
348,389000
349,120000
354,155000
355,41580
356,48510
357,35640
358,22500
359,495000
360,105000
361,180000
363,166600
364,140080
365,68000
367,179000
368,240000
369,125000
370,159000
371,276000
372,104000
373,128000
374,115500
377,119900
378,46200
379,41800
380,52800
381,37500
382,400000
383,65000
384,164000
385,166600
386,218400
387,51700
388,53900
389,66150
391,95000
392,90850
393,90000
394,160000
395,105900
396,83000
397,105900
398,230000
399,310000
400,40000
401,232000
402,48070
403,190900
405,172000
406,280000
407,235000
408,61800
409,118500
410,173550
411,145000
412,140400
414,617888
416,450000
417,114000
418,551780
419,160000
421,152000
425,400000
426,156299
427,178750
428,98000
429,297000
430,132000
431,90000
432,134000
433,200000
434,185000
435,185000
436,390000
437,195000
439,94000
440,42000
441,156000
442,125000
444,105000
445,154000
446,148000
447,67500
448,177000
449,68900
450,84000
452,184000
453,198000
454,221400
455,286200
456,245700
457,155000
458,98750
459,325000
460,250000
461,265000
462,220000
464,500000
465,110000
466,329011
467,75250
468,75250
469,135000
470,91000
471,176000
472,76500
473,114000
475,500000
476,170000
477,450000
478,185000
479,71400
482,185000
483,115500
484,83000
485,119000
486,169000
487,177000
488,173000
489,150000
490,330000
496,495000
497,84000
499,260000
502,37000
503,115000
506,97000
507,139000
508,252000
509,135000
510,180000
513,278000
514,215000
515,100000
516,255000
517,100000
518,180000
519,78900
520,113000
521,89000
522,165888
523,37050
524,28900
526,90000
527,145000
528,145000
529,96000
530,98600
531,460000
533,104900
534,237500
535,105000
537,137000
538,72500
539,350000
540,239000
541,206800
543,149250
544,179000
547,51750
548,110000
551,63000
552,63250
553,269000
554,308660
555,220000
556,88000
558,289000
559,90850
560,289000
561,95000
563,70000
564,119000
566,240000
567,230000
569,203460
570,145000
572,270000
573,119600
574,250000
575,128800
576,147500
577,148400
578,201000
579,336000
580,310000
581,79000
582,135000
584,235000
585,513000
586,100000
587,109000
588,198000
589,299000
590,130000
591,51000
592,125000
593,185000
594,61500
595,154000
596,230000
599,119000
600,153000
602,163000
604,83500
605,140000
606,88000
607,363000
608,93000
609,160000
610,380000
611,165000
612,83650
614,140000
615,210000
616,91000
618,195000
619,99500
620,64000
622,82000
623,365000
624,198000
625,169900
626,74800
627,74800
628,150000
629,71500
630,160000
631,71500
632,204000
633,230000
634,180000
635,320000
636,145000
637,265200
639,135000
640,135000
641,85000
642,135000
643,135000
644,54500
645,54500
646,54500
647,54500
648,130000
649,160000
650,299900
651,227500
652,212500
654,385000
655,330000
656,375000
657,600000
658,200000
659,350000
661,199000
663,163000
664,199000
665,89900
666,92000
667,164000
668,180000
670,180000
671,270000
672,470000
674,72000
677,95000
678,110000
681,88000
682,150000
683,195000
684,90000
685,277000
686,228000
687,210000
688,88000
689,84636
690,220000
691,70400
692,285000
693,57000
694,185000
695,75000
697,650000
698,88000
699,153000
701,130000
702,137000
703,205000
704,31000
705,88000
706,76000
707,65000
708,48000
709,205000
710,120000
711,56000
712,177000
714,90800
716,234900
718,117600
719,280000
720,99900
722,349000
723,84636
724,185000
